"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0079",1554.70318865776,124530.495419185,23977.1022047606,6553.39321442425,70000,24000,"[[5, 14, 18], [3, 8, 10, 17], [1, 6, 7, 12], [9, 13], [2, 4, 11, 15, 16], [19, 20]]","[[2, 7, 4], [6, 11, 3, 4], [4, 2, 5, 1], [3, 2], [1, 1, 1, 1, 1], [3, 7]]","[[0.023031370674598588, 0.017862106879288478, 0.017530588642933005], [0.013319291844537784, 0.018819245953096534, 0.009138803670181847, 0.008359295914180404], [0.012657298441500537, 0.010480794855038554, 0.02492132231089077, 0.015165171179864352], [0.0303380816130435, 0.0040712995748792315], [0.02064150776211465, 0.004832104723223897, 0.006069247793828993, 0.003317458148000803, 0.011941004700933476], [0.0067420147871377276, 0.01363001178792785]]","[1, 2, 1, 1, 1, 1]",-14099.8663553028,-10.1708357208497
"Case: 0080",235.468776464462,164064.461002335,23523.4912381703,6540.96976416465,110000,24000,"[[3], [1, 5, 9], [4, 7], [2, 6, 10], [8]]","[[16], [10, 2, 7], [13, 11], [3, 2, 2], [17]]","[[0.045414072413718205], [0.037488764448860616, 0.02245458835467868, 0.02152741126194771], [0.022679243745049517, 0.022992894142256616], [0.021286357763690738, 0.04615606105998704, 0.03446462374111676], [0.03324158072173493]]","[1, 3, 3, 2, 2]",8251.81360859276,5.29598447020814
"Case: 0081",134.352119207382,471925.91048411,36166.2984222058,9759.61206190399,400000,26000,"[[1, 3, 4, 5, 6, 8, 9, 10], [2, 7]]","[[2, 5, 1, 4, 5, 3, 4, 3], [64, 3]]","[[0.020465636638943532, 0.025792169599060798, 0.005223503251910534, 0.015311266065168397, 0.021374509719285357, 0.01191852961267584, 0.021023041828154482, 0.04105098011342979], [0.07898729780019946, 0.02544458417660954]]","[3, 1]",9754.22323788254,2.11051942536797
"Case: 0082",4030.78767061234,918077.701300044,46772.0707631138,14305.6305369304,800000,57000,"[[1, 4, 5, 7, 8, 9, 10, 11, 14, 18, 19, 20], [2, 3, 6, 15, 16], [12, 13, 17]]","[[4, 3, 6, 3, 4, 2, 6, 4, 2, 3, 3, 6], [13, 2, 3, 13, 2], [13, 5, 6]]","[[0.0063958725955810735, 0.01197042070620755, 0.056019234286676, 0.002946374666682859, 0.05877027797560713, 0.01310697611671152, 0.005446608709753114, 0.015292766934505847, 0.012736337340053019, 0.039627316655688215, 0.012409123807873831, 0.015939163294526573], [0.06485770537356633, 0.020877385426304358, 0.03074290541816136, 0.035805150435417106, 0.02931029029356611], [0.007142532702373776, 0.062140345568193055, 0.004514417547210528]]","[3, 3, 2]",-171720.227220996,-15.7570704372724
"Case: 0083",328.229669570923,698102.211458925,76416.0623019703,21686.1491569544,500000,100000,"[[2, 7], [9, 10], [4, 6], [3, 5, 8], [1]]","[[8, 29], [12, 16], [36, 4], [10, 12, 5], [32]]","[[0.05352541673910955, 0.009157363460714408], [0.06687204418396367, 0.09913100102955151], [0.09974916857915805, 0.022425228110159345], [0.06855711448223377, 0.08848333307683531, 0.02816185154133855], [0.2644840414233782]]","[1, 1, 1, 1, 1]",-15536.0029336136,-2.17701387345661
"Case: 0084",1138.05801534653,1402508.17575329,72675.6564457939,19832.5193074992,1100000,210000,"[[9, 10, 16, 20], [5, 12, 17], [1, 6, 8], [15], [4, 7, 14, 19], [2], [3], [13], [11], [18]]","[[4, 2, 3, 2], [6, 5, 4], [5, 2, 7], [7], [2, 7, 4, 2], [30], [26], [7], [87], [19]]","[[0.05153330003451523, 0.010847820801574877, 0.030788150521118194, 0.011685410495797903], [0.010549989888930114, 0.03218913855927202, 0.05130119013513761], [0.006325770645187134, 0.0035406507300718565, 0.04565933118159586], [0.002867436235665057], [0.025803299060635564, 0.06599891898430292, 0.010010182135407822, 0.004585556815639461], [0.14677255991367075], [0.0488107513863747], [0.0604851059380207], [0.016854894125563187], [0.020595672668114497]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",-186205.610246793,-11.7205258673813
"Case: 0085",945.900163173676,502466.771069716,47450.7909511835,15015.9801185324,400000,40000,"[[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 18], [8, 12, 16, 17, 19, 20]]","[[5, 2, 2, 3, 3, 2, 6, 6, 2, 4, 4, 4, 1, 1], [15, 2, 37, 2, 4, 5]]","[[0.04459237161446657, 0.006054446612233426, 0.03573845176340051, 0.002856111669781636, 0.00848713410648487, 0.008809329539040652, 0.08051088015500545, 0.015066311165516023, 0.026248746827618134, 0.00937139390928063, 0.015741466589275707, 0.0367378916898122, 0.01817777574325044, 0.0016308889677570703], [0.022609574673436383, 0.008607283435277826, 0.08017525216612924, 0.019497723847728184, 0.017310291908612517, 0.02072236348725085]]","[2, 2]",-70321.3986078958,-12.277034046893
"Case: 0086",551.979802131653,882990.340744386,45552.5725911055,11437.7681532804,800000,26000,"[[1, 2, 4, 5, 8, 9], [3, 6, 10], [7]]","[[4, 7, 4, 2, 8, 5], [14, 13, 9], [27]]","[[0.0028363329053673475, 0.05301111395860781, 0.0327410797122871, 0.002605142864315096, 0.030283676482676207, 0.06083216066318521], [0.03172682862382222, 0.007083887796222232, 0.03468175677357497], [0.08631579403787111]]","[2, 4, 2]",-95906.4832333357,-9.79740467883246
"Case: 0087",1030.5098195076,853183.716311211,40529.1255236855,12654.5907875257,600000,200000,"[[6, 7, 8, 9, 10, 16, 19, 20], [2, 5, 11, 14, 15, 18], [17], [1], [4, 12], [3, 13]]","[[2, 2, 1, 1, 3, 3, 2, 2], [2, 1, 1, 2, 2, 8], [17], [9], [9, 12], [3, 3]]","[[0.040050552529444915, 0.004949621619820596, 0.00861701531266716, 0.02198909301760069, 0.008332795295882838, 0.025613978111136033, 0.014104650378044023, 0.01088492613108968], [0.009852768679255797, 0.023622961638054024, 0.0019317652892713074, 0.003343633577572858, 0.0065843400050504455, 0.042973927992605514], [0.11360245894039574], [0.020763208468965226], [0.08783400360615162, 0.012986025045484736], [0.0058818296642761635, 0.02839243438600464]]","[1, 1, 1, 1, 1, 1]",-47520.4174290035,-5.27591865618212
"Case: 0088",380.123118400574,1223011.35482003,96347.1472435869,26664.2075764451,900000,200000,"[[3, 10], [6, 8], [2, 4, 5, 9], [1, 7]]","[[43, 43], [5, 35], [7, 3, 10, 2], [25, 9]]","[[0.41375655655486576, 0.15069521995177784], [0.019271433933282983, 0.15057964170306853], [0.07255241164920585, 0.022414466729926988, 0.05398530274391444, 0.024537462588406497], [0.03355445455077481, 0.0836211004961432]]","[3, 4, 1, 1]",-40290.5884471103,-3.18930788176507
