"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0001",4.50122356414794,663222.346147333,64189.5539763078,19032.7921710255,400000,180000,"[[2, 4, 6, 7, 8, 10], [1, 3, 5, 9]]","[[4, 65, 48, 9, 32, 28], [10, 7, 8, 2]]","[[0.01762857834341878, 0.002963354891683643, 0.17139788817186058, 0.017819812656175917, 0.012992026857747016, 0.16690385662046678], [0.10337301852737113, 0.13428721495303977, 0.09846031748074317, 0.014907313390457212]]","[1, 3]",57708.628593176,9.53052373879779
"Case: 0002",18.0969047546386,86567.6722745991,17352.0546014022,9215.6176731969,50000,10000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[2, 1, 1, 6, 3, 1, 2, 2, 3, 2, 1, 8, 2, 1, 1, 2, 3, 2, 2, 1]]","[[0.04242555656000646, 0.01953310792327822, 0.04567864712862246, 0.004726844565240545, 0.0416520393734758, 0.0014227894081870873, 0.0008195836237708467, 0.009103373760802686, 0.03254434866004115, 0.03736130308223553, 0.013798035083794433, 0.0019213493402505358, 0.021627435289329967, 0.004589432821390375, 0.009951748452415957, 0.0210780742467611, 0.0067233680906802875, 0.04682094855668417, 0.00024679350315602214, 0.003731279252431586]]","[5]",9389.59845021544,12.1661476957577
"Case: 0003",10.8910191059112,115573.597196374,19795.4535042233,7778.14369215103,80000,8000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[8, 6, 15, 5, 11, 5, 4, 4, 2, 1]]","[[0.004046639783518117, 0.00040491985426447405, 0.0400808747482668, 0.10690858394912398, 0.03555914256107505, 0.1061113731819963, 0.04120866963817969, 0.003271835310381222, 0.02595040710838238, 0.019082498360991844]]","[8]",3066.58352305216,2.72568209121287
"Case: 0004",37.719365119934,1720385.49301696,167704.894389487,62680.5986274804,1100000,390000,"[[2, 4, 9, 16, 18, 20], [5, 13, 14], [6, 10, 15, 17], [1, 3, 7], [8, 11, 12], [19]]","[[2, 2, 3, 8, 2, 4], [30, 6, 58], [33, 5, 55, 90], [17, 5, 26], [4, 4, 15], [1]]","[[0.011871170232676852, 0.03502216204280328, 0.025726690669258274, 0.1162248412437685, 0.005835243284260746, 0.06219269463547659], [0.4795866759809499, 0.05582126184303447, 0.836682048412038], [0.0491011518872565, 0.004410673341488227, 0.06707960863192693, 0.170989140763954], [0.24860472376579992, 0.022772806573692617, 0.3761405033401765], [0.004827152639957191, 0.0034317378462287574, 0.0007104458928933042], [0.007545361682533683]]","[2, 2, 2, 3, 1, 1]",180624.731183348,11.7307010063207
"Case: 0005",6.28457307815551,123562.905707379,22445.2450079871,8117.66069939205,70000,23000,"[[1, 2, 4], [3, 5, 7], [6, 8, 9, 10]]","[[5, 2, 5], [121, 9, 6], [3, 1, 0, 1]]","[[0.06587470151281843, 0.04369216322969169, 0.029279052659606928], [0.08412743495209213, 0.043885531876606626, 0.000802443346970336], [0.0227502970852791, 0.017448386239895714, 0.03504689904581957, 0.034702398542835966]]","[2, 3, 2]",24779.9706030105,25.0852746750533
"Case: 0006",20.245292186737,704201.844085591,30496.9875696982,13704.856515893,600000,60000,"[[4, 5, 6, 7, 11, 12, 14, 16], [1, 2, 3, 8, 9, 10, 13, 15, 17, 18, 19, 20]]","[[3, 1, 2, 1, 1, 6, 4, 6], [3, 4, 7, 3, 3, 10, 9, 2, 8, 2, 1, 3]]","[[0.027923694035337045, 0.012244305802766536, 0.00989060323686087, 0.012793470409622358, 0.025077831978111777, 0.15688170761687265, 0.06479521635978781, 0.056316855327109346], [0.008677749721795622, 0.030265747648311914, 0.001786428032119359, 0.020968312505244845, 0.008163701798840453, 0.00839418459517644, 0.0019209528595026239, 0.017176806598572937, 0.05007323756369876, 0.014093563673135787, 0.011522770122858052, 0.018207232480256966]]","[3, 3]",118579.544300126,20.2484680558726
"Case: 0007",12.9270915985107,1100866.83259261,57197.2729020214,19669.559690598,1000000,24000,"[[1, 7, 10], [3, 5], [4, 8], [2, 6, 9]]","[[12, 3, 25], [2, 5], [82, 114], [3, 17, 17]]","[[0.04431360135822073, 0.011186957085959466, 0.06438021209420823], [0.004196764627476556, 0.03166243564247199], [0.08483465550397556, 0.0014359176103215159], [0.012407672747521546, 0.2385756598652852, 0.2762005003843214]]","[2, 1, 5, 2]",104184.61739109,10.4531430181108
"Case: 0008",232.705209493637,210778.274440086,31588.9399551843,9189.33448490222,120000,50000,"[[1, 3, 5, 9, 11, 15, 18], [2, 6, 20], [7, 8, 16], [10, 12, 17], [4, 13, 14, 19]]","[[1, 9, 33, 11, 18, 27, 25], [3, 4, 3], [4, 3, 3], [5, 6, 3], [5, 5, 3, 2]]","[[0.0005570015819722869, 0.01722583537983787, 0.028392352744879317, 0.012055675591970403, 0.004748471981133307, 0.0031301182748945835, 0.026063099074299958], [0.022462060174510183, 0.043636844404335934, 0.04655552008609007], [0.04125343492426916, 0.0344743513513072, 0.041643154030860344], [0.009562700338125542, 0.023720550404216438, 0.004027058645518326], [0.03191518971746096, 0.02629101374531825, 0.042268955608056054, 0.018890052209696345]]","[3, 2, 2, 3, 2]",26192.3968112703,14.1898162241537
"Case: 0009",5.8916015625,74028.1761145512,13484.512161749,5543.66395280215,50000,5000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[3, 3, 5, 3, 2, 5, 1, 7, 2, 2]]","[[0.02300240152847688, 0.0042495542338668296, 0.013100846802064043, 0.056904097228662624, 0.004933417341521969, 0.01313062299457373, 0.009905032457981052, 0.05407817158893222, 0.049345834877263337, 0.005247545828991857]]","[5]",6502.16358899984,9.62912416387606
"Case: 0010",15.4813361167907,927881.674404224,96793.0619341296,31088.6124700949,400000,400000,"[[3, 6, 9, 10, 12, 13, 16, 17, 19, 20], [1, 2, 4, 5, 7, 8, 11, 14, 15, 18]]","[[4, 10, 6, 8, 7, 2, 20, 1, 4, 2], [4, 9, 4, 2, 40, 14, 4, 20, 20, 9]]","[[0.01646901111483858, 0.08182379953362594, 0.061958358239783545, 0.10030091765669005, 0.06765301267639744, 0.03527303661273305, 0.20333655132677408, 0.02935852914646069, 0.05991902415064191, 0.03446933743006138], [0.009790845346534516, 0.046522840353921964, 0.01376452615813019, 0.008505202350863812, 0.048209754522621794, 0.08989994165587847, 0.013174054052596305, 0.1140511877400786, 0.061236490293649935, 0.036522456068849546]]","[2, 2]",89478.0313071495,10.6724287333266
