"algorithm_type","case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP","num_clusters","num_used_servers","avg_num_servers_per_cluster","avg_num_skills_per_server","avg_cross_training_perf","total_stock","Case  ID","n_sku","initial_servers","util_rate","cost_hmin","work_load_relation","cost_f","cost_ci","skills_per_cluster"
"GA2","Case: 0006",4040.21899986267,799585.211437485,59461.7820785442,20123.4293589408,700000,20000,"[[1, 6], [13, 20], [10, 12, 17, 18, 19], [3, 9, 14], [4, 7, 15], [8, 11], [2, 5, 16]]","[[7, 3], [8, 3], [6, 4, 4, 2, 1], [16, 6, 16], [14, 2, 12], [6, 3], [6, 2, 11]]","[[0.015118308125764757, 0.019078440014006916], [0.002067022683330395, 0.017203385470758205], [0.005171166550124194, 0.10241617494522401, 0.0361778863326009, 0.005551496146710525, 0.0025553969501300945], [0.0058364164136370635, 0.006888365245498321, 0.12641586247369593], [0.21854671823624555, 0.0223764311035217, 0.04006348035553137], [0.025559776729674154, 0.038969147058619695], [0.03336888043329822, 0.013200795946255792, 0.08155790683538415]]","[1, 1, 1, 1, 1, 1, 1]",213962.91165202,36.5359911551187,7,7,1,2.85714285714286,14.2857142857143,132,6,20,5,0.8,1,"IND",100,0.01,2.85714285714286
"GA2","Case: 0007",3702.37800002098,1050361.75016176,101678.235976187,27683.5141855772,900000,21000,"[[3, 5, 7], [2, 4], [8], [1, 6, 9, 10]]","[[10, 69, 12], [13, 46], [41], [15, 14, 15, 30]]","[[0.06257588485429778, 0.4464884360749949, 0.03778207941268397], [0.10053538234028561, 0.04677008397175494], [0.0005897126454351823], [0.04103078698477562, 0.14390306334948288, 0.14186455229332334, 0.06104670429670117]]","[1, 4, 2, 2]",53679.5349602362,5.38582249602821,4,9,2.25,2.33333333333333,23.3333333333333,265,7,10,10,0.8,1,"IND",100,0.01,2.5
"GA2","Case: 0008",2579.56300020218,200101.786035627,35042.6081490016,12059.1778866255,130000,23000,"[[14, 15, 17], [10, 16], [18, 20], [5, 8], [9], [11, 13], [7], [2, 4], [12], [6], [1, 3, 19]]","[[2, 4, 3], [5, 2], [7, 4], [17, 5], [50], [11, 9], [3], [2, 2], [10], [4], [1, 18, 6]]","[[0.01440374095231043, 0.0005228087636552671, 0.004770082516353591], [0.01616505978677136, 0.017327316127095423], [0.006017628150185745, 0.08877078849828979], [0.014907723975371033, 0.0505076416994061], [0.042948244538887764], [0.002189643070666011, 0.044302252882689595], [0.05125369016711802], [0.04880823793829732, 0.022409873574251477], [0.021375005877745237], [0.08669049013844735], [0.0008968340279156078, 0.0470310220969019, 0.04712827306423317]]","[1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1]",15515.9084068109,8.40579388094457,11,13,1.18181818181818,1.76923076923077,8.84615384615385,165,8,20,10,0.8,1,"IND",10,0.1,1.81818181818182
"GA2","Case: 0009",5658.78999996185,76994.1000561455,19707.7216271151,5586.37842903034,50000,1700,"[[2, 3], [6, 7, 9], [1, 4, 5, 8, 10]]","[[14, 28], [5, 1, 3], [81, 110, 46, 253, 20]]","[[0.018665893397469886, 0.06844426748244312], [0.012241535441660126, 0.013857286811617882, 0.029218710542374154], [0.4202884642899638, 1.163082454637709, 0.05164574945035147, 1.0154946954167179, 0.14837403507605068]]","[2, 1, 2]",9468.08753059409,14.0213929069356,3,5,1.66666666666667,3.4,34,561,9,10,5,0.65,100,"IND",10,0.01,3.33333333333333
"GA2","Case: 0010",6196.17999982834,881255.648593893,59361.7743003881,21893.8742935045,600000,200000,"[[2, 10, 13, 16, 17], [6, 20], [7, 8, 12, 18], [1, 11, 15], [4, 5, 9, 14, 19], [3]]","[[5, 4, 1, 11, 1], [6, 2], [9, 3, 2, 2], [6, 6, 38], [3, 1, 3, 10, 2], [4]]","[[0.03252568884685695, 0.0838284135850388, 0.03758263043790354, 0.14185991925970737, 0.015625160221811277], [0.06402749444962386, 0.01583129796285386], [0.010018017205911521, 0.027708868466158623, 0.016566762817664848, 0.016828407980136954], [0.01627406375602193, 0.02353649388268303, 0.11225338834743356], [0.006825186520635704, 0.011678745105947907, 0.041833970242010625, 0.06025883301618663, 0.04012692806115704], [0.0221787232123712]]","[1, 1, 1, 1, 1, 1]",42852.0054968175,5.11114256833637,6,6,1,3.33333333333333,16.6666666666667,119,10,20,5,0.65,100,"IND",100,0.1,3.33333333333333
"GA2","Case: 0011",1278.24900007248,1046272.91879994,83454.5841886893,22818.3346112557,800000,140000,"[[7, 8], [5, 10], [1, 2], [6], [9], [3, 4]]","[[12, 6], [12, 8], [5, 21], [12], [12], [40, 16]]","[[0.021548967501780553, 0.02863017453978782], [0.09458009332406367, 0.023997790332334856], [0.03033072455469326, 0.1401783465960839], [0.03543281274746326], [0.11034071375454667], [0.02253716916790836, 0.14400210167587077]]","[1, 1, 2, 1, 1, 2]",-70041.4081217481,-6.27434463865493,6,8,1.33333333333333,1.75,17.5,144,11,10,10,0.65,100,"IND",100,0.1,1.66666666666667
"GA2","Case: 0012",7452.25499987602,177180.72164909,31608.2503944474,11872.4712546426,130000,3700,"[[13, 14], [8, 19], [2, 3, 6], [11, 16], [1, 4, 9, 10, 15], [5, 20], [7, 17], [12, 18]]","[[9, 3], [1, 2], [5, 3, 1], [3, 1], [7, 12, 2, 2, 9], [9, 5], [3, 2], [2, 1]]","[[0.0573763751887891, 0.012920397388968633], [0.0036342286502838504, 0.011168678110224534], [0.007798794217017855, 0.02598751259965854, 0.025895708666167028], [0.022200219180331222, 0.002801847302896669], [0.00733154397898501, 0.14736934613851058, 0.029365194355065027, 0.010123370205685453, 0.07314698244598973], [0.03912868179679946, 0.03315780198190421], [0.020984361824242934, 0.006983873655655531], [0.01539698369366265, 0.009397031196932396]]","[2, 1, 2, 1, 3, 2, 1, 1]",37218.2462843804,26.5915890579946,8,13,1.625,2.84615384615385,14.2307692307692,82,12,20,10,0.65,100,"IND",10,0.01,2.5
"GA2","Case: 0013",5335.42100000382,668648.864353329,37739.5647150001,10909.299638329,600000,20000,"[[2, 3, 7, 10], [1, 9], [4, 5, 6, 8]]","[[2, 2, 2, 2], [5, 4], [5, 15, 17, 21]]","[[0.0018446002686000856, 0.01619643573886473, 0.0047057953914203575, 0.026920469276915424], [0.013781556796810819, 0.0042302640747256355], [0.028212507692482406, 0.13268944853916095, 0.013654000278215173, 0.1001149483128955]]","[1, 2, 3]",70555.9597969774,11.7968227443383,3,6,2,3.33333333333333,33.3333333333333,75,13,10,5,0.8,100,"IND",100,0.01,3.33333333333333
"GA2","Case: 0014",4029.01699995995,157019.270542311,27712.6056810651,9306.6648612457,100000,20000,"[[4, 14], [10], [9, 11, 18], [16], [8], [2, 7], [12], [5], [1, 15, 19, 20], [3, 6, 13, 17]]","[[4, 3], [1], [3, 1, 2], [2], [5], [3, 5], [5], [4], [2, 2, 1, 1], [2, 2, 5, 1]]","[[0.03929562885981783, 0.035828500554280884], [0.026921632525852047], [0.013442332715296178, 0.02829522044676621, 0.012022386027657378], [0.025079355352499513], [0.037279657811420154], [0.006515551713184092, 0.01775493405742954], [0.008288579111187381], [0.026206471338149316], [0.010030177932466177, 0.011781053574666368, 0.023261416454253187, 0.0004022171201204278], [0.02225486698366419, 0.0060997878546799385, 0.009419057777315819, 0.014228126806965393]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11156.4719665779,7.64860682471096,10,10,1,2,10,54,14,20,5,0.8,100,"IND",10,0.1,2
"GA2","Case: 0015",3219.70499992371,182879.221115583,30918.4923349505,7960.72878063273,120000,24000,"[[3, 4, 7], [9, 10], [1, 6], [5], [2, 8]]","[[0, 5, 4], [41, 19], [2, 2], [30], [6, 12]]","[[0.019222585105291283, 0.019455745690486487, 0.021223941483283392], [0.2185846178686912, 0.14683985461984964], [0.019223575354662164, 0.005196845876563132], [0.01948086855855551], [0.017975712716004816, 0.0531674530144693]]","[2, 3, 1, 2, 4]",5753.51090950938,3.24826412993097,5,12,2.4,2,20,121,15,10,10,0.8,100,"IND",10,0.1,2
