CIE_SA_MSSA,CIE_SA_MSSA_Inner,CIE_SA_MSSA_Adaptive,CIE_SA_VNS_Kmedian,CIE_SA_VNS,CIE_SA_Kmedian1,CIE_SA_Kmedian2,CIE_SA_Kmedian3,CIE_SA_Kmedian4,CIE_SA_GA2,MSSA_MSSA_Inner,MSSA_MSSA_Adaptive,MSSA_VNS_Kmedian,MSSA_VNS,MSSA_Kmedian1,MSSA_Kmedian2,MSSA_Kmedian3,MSSA_Kmedian4,MSSA_GA2,MSSA_Inner_MSSA_Adaptive,MSSA_Inner_VNS_Kmedian,MSSA_Inner_VNS,MSSA_Inner_Kmedian1,MSSA_Inner_Kmedian2,MSSA_Inner_Kmedian3,MSSA_Inner_Kmedian4,MSSA_Inner_GA2,MSSA_Adaptive_VNS_Kmedian,MSSA_Adaptive_VNS,MSSA_Adaptive_Kmedian1,MSSA_Adaptive_Kmedian2,MSSA_Adaptive_Kmedian3,MSSA_Adaptive_Kmedian4,MSSA_Adaptive_GA2,VNS_Kmedian_VNS,VNS_Kmedian_Kmedian1,VNS_Kmedian_Kmedian2,VNS_Kmedian_Kmedian3,VNS_Kmedian_Kmedian4,VNS_Kmedian_GA2,VNS_Kmedian1,VNS_Kmedian2,VNS_Kmedian3,VNS_Kmedian4,VNS_GA2,Kmedian1_Kmedian2,Kmedian1_Kmedian3,Kmedian1_Kmedian4,Kmedian1_GA2,Kmedian2_Kmedian3,Kmedian2_Kmedian4,Kmedian2_GA2,Kmedian3_Kmedian4,Kmedian3_GA2,Kmedian4_GA2
-292.1844035634364,-120.4290879822438,-48.64419904999421,85.23192214586675,83.57093640814882,98.76066317477546,97.39693534716675,98.7066994310941,98.76096805468326,-34.74289477374862,43.79452982336941,62.09839103763574,96.23440460152197,95.81088298194048,99.68399130256998,99.3362651270215,99.6702315142686,99.68406904148694,65.64297469520514,32.56597828778027,93.3003044247396,92.5467805804402,99.43776166903872,98.8190920369625,99.41328044281974,99.43789998105126,38.87245281139912,90.06481386524457,88.94739001128089,99.16623936006565,98.24879499538508,99.12993539124193,99.16644446723411,9.352066454722593,-11.247135572575822,91.60800181671793,82.37370713681125,91.24259377774108,91.61006626891555,-812.3929065422491,92.45643661736597,84.15573329374432,92.1279714959081,92.45829235251544,-720.1495722530481,-110.03690036900369,-4.354243542435432,0.024600246002455133,-10772.17712177122,50.31623330990863,52.4010306863434,-5076.317638791286,4.196133899104199,-10318.528995756718,-10774.852362204723
-768.5891998869099,-336.9129840231258,-133.14739806015703,59.39975650989828,72.87162532527854,99.3661756475279,98.91453612827658,99.34179778781741,99.36732962905265,11.90000173097229,49.69854747445492,73.15792113342961,95.3257254988448,96.87673129273843,99.92702829455459,99.87503138746547,99.92422169049901,99.9271611515513,89.85711562145853,46.63756707037653,90.70747609369451,93.79089757760882,99.85493121613467,99.7515606284509,99.84935164752444,99.85519533772568,79.83580220990537,82.58601904721837,88.3642816087865,99.72814435942854,99.5344302013427,99.71768837325273,99.72863931735404,62.212746527715474,33.181743894380055,98.43886563727963,97.3264596997108,98.37882200794424,98.44170793926001,-116.99376825290804,97.66361103430674,95.99878767254397,97.57374992024161,97.66786481485421,-224.75221728311035,-71.25625853436505,-3.8461538461538574,0.1820664542557995,-13799.749658625398,39.36212624584717,41.714285714285715,-8016.345514950166,3.8790269559500397,-13284.944115713346,-13825.102599179207
-269.7666128900237,16.820823442743723,-27.898459840465552,79.18632682644754,72.40862151364968,99.61845867867883,99.45871300435407,99.63799781900947,99.61872272111574,-19.485275673506234,77.50495213530934,65.4110308010677,94.37113237161223,92.53816393245957,99.89681563775075,99.85361388054608,99.90209981962374,99.89688704561392,67.68629954456065,-53.76259435848925,74.97730317247684,66.82898337258985,99.5413018773292,99.34925179828711,99.5647923002203,99.54161931547638,-43.64806267498777,83.72640827769588,78.427122171161,99.70168419401057,99.57678380465165,99.71696126642802,99.70189064093513,6.578018357260534,-32.56371547819911,98.16687175713905,97.39936823677166,98.26074822078729,98.16814035799916,-474.07106702018336,98.61717194916551,98.03820241923135,98.68798805695911,98.61812892359515,-333.0529398254478,-41.868512110726655,5.121107266435976,0.06920415224913348,-31216.470588235297,33.12195121951219,29.5609756097561,-21974.292682926825,-5.324580598103563,-32906.78336980306,-31238.157894736843
-819.4167368327671,-434.9052096189553,-152.0474753432951,60.92357783301142,78.60621331843373,98.90836592620029,97.81906639917949,98.84284297994,98.90945538136378,6.589180465135098,41.82124512311882,72.58615541288106,95.7498683022021,97.67311320052056,99.88126884903573,99.76279161413426,99.87414227153987,99.88138734319837,89.84020892890757,52.87997372041984,92.69470151640044,96.00045273501705,99.79592008935988,99.59227661993157,99.78367063934856,99.7961237619254,82.53693965676517,84.49640405492438,91.51200120039792,99.56689347024292,99.13471317344083,99.5408971986393,99.56732571228858,62.9391965114362,45.251418898735444,97.20641242656576,94.41879916359653,97.03873344618142,97.20920043811608,-139.0465000497859,94.89742470536883,89.80576167612396,94.59115379019352,94.90251709588244,-336.62592754255786,-99.78614200171086,-6.002281151981742,0.09980039920160734,-8456.971770744223,46.94212516948548,49.996431884678515,-4183.065724684222,5.756556825823808,-7972.441156691324,-8465.520194091623
-799.2269457871258,-298.37344864273194,-109.83809975395316,63.83229182147803,75.17285794155738,99.47063361193482,99.21562244192658,99.48195695713407,99.47252083613469,-9.62413571029222,55.698230517989956,76.6646116714981,95.97791098810288,97.23905715072733,99.94113094691554,99.9127720135892,99.94239017799757,99.94134081876254,87.80906908718863,47.326283800068325,90.92115493596617,93.76787229595011,99.86711805471255,99.8031049607483,99.86996044926416,99.86759178713781,72.4820677472898,82.76399365943047,88.16842980967049,99.74772627626446,99.6261986936628,99.75312250564919,99.74862564782858,47.7577542692044,31.355501056641184,98.5363562837538,97.83127657909155,98.56766417073234,98.54157426491692,-203.09948081087427,97.86779168210711,96.84064498351434,97.9134004161797,97.87539313778589,-341.5495567401157,-48.17290552584669,2.139037433155082,0.35650623885918825,-20608.556149732623,33.954887218045116,32.75187969924812,-13875.939849624061,-1.8214936247723068,-21061.20218579235,-20682.64758497317
-485.25764756498313,-245.39287884596385,-103.28887564514426,70.43845537016173,77.11347006011582,98.95956621528192,97.86757111025919,98.89344049606008,98.95956621528192,1.5632454837807859,40.98447405463187,65.2650629187084,94.94896909885216,96.08949493695543,99.82222636661871,99.6356427124681,99.81092780102168,99.82222636661871,83.18061200468304,41.142713675980055,91.44118294256381,93.37376902026664,99.69876802666157,99.38260774314,99.67962295353709,99.69876802666157,71.50006252441602,85.45835597937973,88.74186801060658,99.48819935108784,98.95103513019419,99.45567139351418,99.48819935108784,51.57789416473146,22.58006059404819,96.48044850921652,92.78647676756235,96.25676020047004,96.48044850921652,-232.98921199422375,95.45394698343964,90.68260284393467,95.16501843291006,95.45394698343964,-330.10781789455206,-104.95575221238937,-6.355591311343517,0.0,-9361.126307320998,48.10802323755692,51.20898100172711,-4516.179934055582,5.975794251134638,-8795.748865355523,-9361.126307320998
-661.3363345575168,-245.51658032762165,-113.4684602212146,67.51009682178976,76.38582244671571,99.37038911804936,99.04513683212889,99.41303809328925,99.3706045169142,-7.000463107559423,54.617090417938165,71.96134605275591,95.73251640523723,96.89832515782808,99.91730187390614,99.87458063873622,99.92290373123308,99.91733016611487,85.94570385639781,38.217592910070465,90.59671661851854,93.16554431891717,99.81777694102156,99.72364186778947,99.8301204804255,99.81783928212968,69.03174284542273,84.7799983451694,88.93786111127929,99.70505671830949,99.55269121870201,99.7250357705759,99.70515762261387,49.875282279791485,27.318412050173695,98.06213370813335,97.06104643453818,98.19340210559814,98.06279667983772,-229.3345090031558,97.33375900757092,95.95639879595002,97.51436650551857,97.33467116665148,-353.1195840554593,-51.65925419089975,6.773862470065003,0.034211426616495254,-16894.697228874447,38.52921272276111,34.085269569140536,-11105.842544552223,-7.229357798165133,-18129.54128440367,-16900.51334702259
-577.4437831578381,-285.61082235926716,-99.78850797583463,67.85141697860843,76.24305424644746,99.00609520731784,97.91200998213628,98.9084282623722,99.00735195109472,0.18689575310370568,43.078550287703585,70.50847421692468,95.25442792145289,96.49314875356714,99.85328601171167,99.69178401665584,99.83886903020357,99.85347152434139,85.26621592398011,48.18908173959521,91.6629458621783,93.83913926268941,99.74225184174001,99.45852401001383,99.71692398803819,99.7425777516222,74.11558533647634,83.90869257340863,88.10895281503076,99.50252154002652,98.95489983932598,99.45363637343955,99.50315057709658,50.04061782223773,26.102666056091053,96.90840248846796,93.5051880312287,96.60460388906883,96.91231166162197,-210.47435023957647,95.81636123181562,91.21103344039297,95.4052522199131,95.82165123748347,-320.1428301530323,-110.07947976878613,-9.826589595375719,0.12644508670520282,-9942.521676300577,47.72141014617369,52.4591573516767,-4680.343938091144,9.062499999999996,-9043.980263157895,-9955.236028214867
-716.402355125187,-369.24526124909806,-126.40870962353472,66.46770829925038,78.07853057822491,99.00583959455201,98.03906036084597,98.89786478523001,99.00652842906125,0.6940007680504809,42.52279426886954,72.26750900432945,95.89267577558522,97.31486940426407,99.87822666125264,99.75980720451825,99.8650009755789,99.87831103564291,87.83614493410887,51.75045369220126,92.85399460156744,95.32835571670523,99.78813629299066,99.58210773744756,99.7651259787182,99.78828308925398,78.83708000212854,85.1894868547654,90.31774464055493,99.56090010534442,99.13389390257352,99.51320988640296,99.56120434916542,56.138613484846765,34.62579409302636,97.0352148480631,94.15208582624193,96.71321237270118,97.03726909033017,-196.1503499915262,95.4649007038713,91.05470713926597,94.97234791352439,95.46804298642533,-353.0079499748617,-97.24579941105146,-10.860904209249963,0.06928806513077974,-9888.931231595358,43.79555633617283,49.3369632036533,-4964.2047949416,9.859375000000004,-8910.328125,-9895.857167620039
-482.69017316636365,-133.12337280591245,-79.11653149748388,69.31557407747884,73.97397397397397,99.39032002524067,98.93862116084338,99.4541026287058,99.39122796265654,-8.055447737987407,59.99188187109627,69.26041664232008,94.73400662383224,95.53347092081553,99.8953680698876,99.81784850885866,99.90631429935951,99.89552388810071,81.45576281974871,23.166635184792103,86.83768789323945,88.83594308336724,99.73847325241518,99.5447136739737,99.7658332732906,99.73886271890451,53.648814171906615,82.86901512329017,85.46978003178249,99.6596182554105,99.40743669482482,99.69522781245801,99.66012515301972,39.673101731815684,15.181642662169061,98.01306377281168,96.54098518304816,98.2209301465421,98.0160227247509,-252.1507881908228,97.65742194313624,95.92185592185592,97.90249433106577,97.66091051805338,-315.18227803942085,-74.08786299329857,10.46165301563663,0.1489203276247176,-17623.30603127327,48.56715141146278,42.64328485885372,-10080.667236954661,-11.517671517671515,-19694.095634095633,-17649.73900074571
