num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
2,4,2.0,6.0,60.0,111
1,5,5.0,20.0,100.0,46
1,8,8.0,10.0,100.0,61
4,9,2.25,6.111111111111111,30.555555555555554,146
5,8,1.6,2.5,25.0,38
2,5,2.5,13.0,65.0,100
2,9,4.5,5.0,50.0,273
6,11,1.8333333333333333,3.5454545454545454,17.727272727272727,135
1,5,5.0,10.0,100.0,33
4,5,1.25,5.8,29.0,94
4,9,2.25,2.5555555555555554,25.555555555555554,109
1,11,11.0,20.0,100.0,37
3,6,2.0,3.5,35.0,92
6,8,1.3333333333333333,4.75,23.75,50
7,14,2.0,1.5,15.0,70
4,11,2.75,6.181818181818182,30.909090909090907,130
1,4,4.0,10.0,100.0,78
4,6,1.5,5.833333333333333,29.166666666666664,45
6,10,1.6666666666666667,1.8,18.0,104
3,8,2.6666666666666665,6.875,34.375,157
2,5,2.5,5.4,54.0,65
6,7,1.1666666666666667,3.142857142857143,15.714285714285714,76
6,10,1.6666666666666667,1.6,16.0,179
3,11,3.6666666666666665,6.909090909090909,34.54545454545455,94
4,5,1.25,2.4,24.0,71
2,4,2.0,12.5,62.5,168
2,8,4.0,5.0,50.0,107
5,12,2.4,4.75,23.75,57
2,5,2.5,5.0,50.0,111
1,6,6.0,20.0,100.0,37
2,13,6.5,6.384615384615385,63.84615384615385,46
8,12,1.5,2.9166666666666665,14.583333333333332,225
2,10,5.0,11.8,59.0,77
5,11,2.2,2.5454545454545454,25.454545454545453,177
5,7,1.4,4.571428571428571,22.857142857142854,75
1,5,5.0,10.0,100.0,41
3,8,2.6666666666666665,10.625,53.125,111
6,11,1.8333333333333333,2.090909090909091,20.90909090909091,77
3,5,1.6666666666666667,7.2,36.0,76
1,4,4.0,10.0,100.0,139
7,10,1.4285714285714286,2.9,14.5,422
1,12,12.0,10.0,100.0,41
1,6,6.0,20.0,100.0,38
3,6,2.0,4.166666666666667,41.66666666666667,85
5,11,2.2,4.454545454545454,22.272727272727273,68
1,7,7.0,10.0,100.0,232
1,4,4.0,20.0,100.0,99
3,5,1.6666666666666667,3.6,36.0,62
5,13,2.6,4.6923076923076925,23.46153846153846,81
3,11,3.6666666666666665,3.090909090909091,30.909090909090907,130
2,5,2.5,10.6,53.0,81
4,7,1.75,2.5714285714285716,25.714285714285715,42
6,10,1.6666666666666667,3.7,18.5,104
1,11,11.0,10.0,100.0,26
1,6,6.0,20.0,100.0,26
3,5,1.6666666666666667,3.6,36.0,74
4,10,2.5,5.8,29.0,166
5,11,2.2,2.3636363636363638,23.636363636363637,100
4,7,1.75,5.571428571428571,27.857142857142854,63
1,5,5.0,10.0,100.0,59
1,10,10.0,20.0,100.0,42
5,9,1.8,2.0,20.0,90
6,6,1.0,3.3333333333333335,16.666666666666668,100
1,7,7.0,10.0,100.0,21
4,6,1.5,3.0,30.0,52
9,12,1.3333333333333333,2.25,11.25,115
1,5,5.0,10.0,100.0,42
1,10,10.0,20.0,100.0,73
4,6,1.5,7.333333333333333,36.666666666666664,52
3,10,3.3333333333333335,3.8,38.0,47
1,6,6.0,20.0,100.0,38
1,10,10.0,10.0,100.0,52
1,5,5.0,10.0,100.0,32
1,9,9.0,20.0,100.0,45
3,6,2.0,3.3333333333333335,33.333333333333336,50
10,14,1.4,2.2857142857142856,11.428571428571427,112
2,5,2.5,13.6,68.0,41
1,8,8.0,10.0,100.0,49
5,8,1.6,4.375,21.875,52
4,12,3.0,2.6666666666666665,26.666666666666664,63
1,4,4.0,10.0,100.0,65
3,8,2.6666666666666665,7.625,38.125,199
4,6,1.5,2.6666666666666665,26.666666666666664,101
6,11,1.8333333333333333,3.5454545454545454,17.727272727272727,186
3,4,1.3333333333333333,7.75,38.75,158
3,8,2.6666666666666665,4.0,40.0,153
4,6,1.5,5.5,27.5,105
7,12,1.7142857142857142,1.8333333333333333,18.333333333333332,143
4,6,1.5,2.6666666666666665,26.666666666666664,90
12,13,1.0833333333333333,1.6153846153846154,8.076923076923077,146
3,5,1.6666666666666667,3.8,38.0,120
2,10,5.0,10.0,50.0,216
3,5,1.6666666666666667,7.2,36.0,116
4,9,2.25,2.7777777777777777,27.77777777777778,165
2,5,2.5,11.8,59.0,190
1,9,9.0,10.0,100.0,177
1,6,6.0,20.0,100.0,41
2,10,5.0,6.6,66.0,61
1,6,6.0,10.0,100.0,34
2,12,6.0,13.333333333333334,66.66666666666667,51
1,5,5.0,20.0,100.0,34
1,8,8.0,10.0,100.0,46
2,5,2.5,6.8,68.0,39
3,9,3.0,9.222222222222221,46.11111111111111,66
2,4,2.0,13.5,67.5,155
2,8,4.0,5.0,50.0,159
1,4,4.0,10.0,100.0,92
2,8,4.0,12.0,60.0,159
1,5,5.0,20.0,100.0,86
3,10,3.3333333333333335,4.0,40.0,178
1,5,5.0,10.0,100.0,67
2,9,4.5,9.666666666666666,48.33333333333333,191
4,6,1.5,5.166666666666667,25.833333333333336,46
4,10,2.5,2.8,28.0,105
4,7,1.75,2.5714285714285716,25.714285714285715,47
8,12,1.5,2.4166666666666665,12.083333333333332,80
7,9,1.2857142857142858,2.888888888888889,14.444444444444443,75
5,12,2.4,2.5833333333333335,25.833333333333336,77
4,7,1.75,2.7142857142857144,27.142857142857146,54
4,11,2.75,5.2727272727272725,26.363636363636363,107
5,7,1.4,4.571428571428571,22.857142857142854,140
4,10,2.5,2.9,29.0,120
5,6,1.2,2.3333333333333335,23.333333333333336,81
10,14,1.4,2.2857142857142856,11.428571428571427,335
5,6,1.2,4.666666666666667,23.333333333333336,100
3,8,2.6666666666666665,4.0,40.0,341
2,4,2.0,6.5,65.0,89
9,11,1.2222222222222223,2.4545454545454546,12.272727272727273,121
