,CIE_SA,MSSA,MSSA_Inner,MSSA_Adaptive,Flexible,Dedicated,VNS_Kmedian,VNS,Kmedian1,Kmedian2,Kmedian3,Kmedian4,GA2
50,1107176.95,1109080.53,1106864.45,1106864.45,1530378.45,1497312.91,1109080.53,1107176.95,1397082.28,1320410.72,1214008.88,1397082.28,1120241.85
51,671317.72,601718.4,609630.91,604883.27,643473.05,2050998.44,618891.6,671505.97,643473.05,643473.05,608946.58,643473.05,788371.36
52,114032.74,114032.74,115743.83,115743.83,158454.84,162257.5,114032.74,115743.83,131412.35,135981.32,127826.62,131412.35,118930.34
53,1136513.23,1115816.54,1116539.22,1125548.0,2171477.09,2364156.31,1193882.31,1193952.26,1358148.26,1621547.82,1436302.98,1358148.26,1322234.33
54,122345.89,122345.89,122442.38,122442.38,139788.23,180814.35,122345.89,122345.89,132382.34,139788.23,139788.23,132382.34,131229.71
55,108477.2,96342.35,96342.35,96342.35,96342.35,232779.99,96342.35,113017.59,96342.35,96342.35,96342.35,96342.35,131172.83
56,625795.89,655988.41,625795.89,658297.29,1001204.47,1141184.9,655988.41,655988.41,806658.41,864561.31,742889.76,806658.41,655988.41
57,1102401.26,1081211.29,1066847.77,1096527.27,1253382.88,2276032.4,1070751.74,1105857.94,1185077.49,1130105.21,1143524.94,1185077.49,1272007.7
58,173289.91,173409.73,172130.2,174790.11,253395.73,200611.87,173409.73,174057.21,200611.87,176571.39,182913.95,200611.87,177592.98
59,125794.99,125794.99,125732.63,133867.42,194533.67,248595.3,125571.82,125571.82,146203.28,163223.96,144674.54,146203.28,152364.84
60,551448.12,551448.12,551448.12,551448.12,582079.94,1141324.42,551448.12,551448.12,581805.05,582079.94,582079.94,581805.05,579950.19
61,148078.91,139709.3,137686.32,145604.54,147197.64,263188.02,139709.3,150112.81,147197.64,147197.64,147197.64,147197.64,163420.87
62,1025287.17,1025287.17,1025287.17,1026441.38,1452971.04,1562851.61,1025287.17,1025287.17,1131429.16,1126245.87,1113315.29,1131429.16,1040078.47
63,738580.95,734444.19,734517.42,734579.34,1302549.06,2218622.63,734444.19,926653.08,830562.79,1037425.59,852929.68,830562.79,1026571.04
64,82238.21,80402.38,80402.38,80402.38,93944.86,130491.94,80402.38,82359.15,93944.86,93944.86,93944.86,93944.86,86545.47
65,93836.49,93985.16,93985.16,93985.16,133327.22,131719.66,93836.49,93985.16,103981.78,110469.11,105006.21,103981.78,95966.38
66,165942.24,163852.82,168035.35,170928.81,274631.9,281960.17,164247.46,166259.36,194083.68,212085.37,199134.71,194083.68,193301.65
67,81399.64,78561.35,78561.35,78561.35,78561.35,129653.18,78561.35,81399.64,78561.35,78561.35,78561.35,78561.35,87095.1
