,CIE_SA_MSSA,CIE_SA_MSSA_Inner,CIE_SA_MSSA_Adaptive,CIE_SA_Flexible,CIE_SA_Dedicated,CIE_SA_VNS_Kmedian,CIE_SA_VNS,CIE_SA_Kmedian1,CIE_SA_Kmedian2,CIE_SA_Kmedian3,CIE_SA_Kmedian4,CIE_SA_GA2,MSSA_MSSA_Inner,MSSA_MSSA_Adaptive,MSSA_Flexible,MSSA_Dedicated,MSSA_VNS_Kmedian,MSSA_VNS,MSSA_Kmedian1,MSSA_Kmedian2,MSSA_Kmedian3,MSSA_Kmedian4,MSSA_GA2,MSSA_Inner_MSSA_Adaptive,MSSA_Inner_Flexible,MSSA_Inner_Dedicated,MSSA_Inner_VNS_Kmedian,MSSA_Inner_VNS,MSSA_Inner_Kmedian1,MSSA_Inner_Kmedian2,MSSA_Inner_Kmedian3,MSSA_Inner_Kmedian4,MSSA_Inner_GA2,MSSA_Adaptive_Flexible,MSSA_Adaptive_Dedicated,MSSA_Adaptive_VNS_Kmedian,MSSA_Adaptive_VNS,MSSA_Adaptive_Kmedian1,MSSA_Adaptive_Kmedian2,MSSA_Adaptive_Kmedian3,MSSA_Adaptive_Kmedian4,MSSA_Adaptive_GA2,Flexible_Dedicated,Flexible_VNS_Kmedian,Flexible_VNS,Flexible_Kmedian1,Flexible_Kmedian2,Flexible_Kmedian3,Flexible_Kmedian4,Flexible_GA2,Dedicated_VNS_Kmedian,Dedicated_VNS,Dedicated_Kmedian1,Dedicated_Kmedian2,Dedicated_Kmedian3,Dedicated_Kmedian4,Dedicated_GA2,VNS_Kmedian_VNS,VNS_Kmedian_Kmedian1,VNS_Kmedian_Kmedian2,VNS_Kmedian_Kmedian3,VNS_Kmedian_Kmedian4,VNS_Kmedian_GA2,VNS_Kmedian1,VNS_Kmedian2,VNS_Kmedian3,VNS_Kmedian4,VNS_GA2,Kmedian1_Kmedian2,Kmedian1_Kmedian3,Kmedian1_Kmedian4,Kmedian1_GA2,Kmedian2_Kmedian3,Kmedian2_Kmedian4,Kmedian2_GA2,Kmedian3_Kmedian4,Kmedian3_GA2,Kmedian4_GA2
70,-258.1178601002021,-31.56452859084003,-176.74211394985426,,,87.8145436498374,55.289512416087824,99.66391226450574,99.50596403256225,99.62485148756907,99.66255351042419,-19.017662946912697,63.26222642064598,22.723174467639996,,,96.59736145336257,87.51514722795392,99.90615164085918,99.86204654319684,99.8952444001743,99.90577222552335,66.7657840595799,-110.34705700235523,,,90.73803822300854,66.01630541089092,99.74454532760917,99.62449151551009,99.71485588368759,99.74351256133386,9.536662942750732,,,95.59681893867061,83.84398856185157,99.87855562324889,99.82148146504103,99.86444111917896,99.8780646412071,56.99329558186481,,,,,,,,,,,,,,,,-266.91680885070497,97.24189455169827,95.94569170623501,96.92134211759807,97.2307439304781,-876.7189633839573,99.24830223588259,98.89503337106187,99.16093844486296,99.2452632305955,-166.19629840435445,-46.996130849941785,-11.622196471768895,-0.40428552965699793,-35312.67662501295,24.064534334093256,31.695967132527585,-23990.890297761176,10.049892670719029,-31625.479111109773,-35170.08477596597
71,-276.61104019269465,-470.4941253260084,-230.87694537161858,,,96.23780498793379,88.3813170369371,99.85141873762369,99.71032749739226,99.84944208902553,99.8545964222689,-114.14923728621592,-51.48098819251623,12.143588461367473,,,99.00103963756843,96.91493829890963,99.96054782082322,99.92308443680791,99.96002296934857,99.96139157852177,43.137822731737884,42.00169104589127,,,99.34053746654862,97.96340006894489,99.97395568932609,99.94922427948892,99.97360920922921,99.97451269499962,62.46249912497511,,,98.86296248055578,96.48851842789662,99.95509470682236,99.91245310177703,99.95449730992729,99.95605508943278,35.27828388112747,,,,,,,,,,,,,,,,-208.82723850834796,96.05067621694836,92.30043892784133,95.99813644716471,96.13513979831555,-5592.135484720769,98.72118670550981,97.50683873956585,98.70417403200426,98.74853648908952,-1743.14554383677,-94.9589726018667,-1.3303485019158998,2.1386846459555175,-144029.3699227273,48.0247832917921,49.80414902273266,-73828.05163015476,3.423488815698514,-142137.1205207117,-147179.20772502737
72,-239.08292193134167,34.076864864347534,17.37098301657052,,,83.59785313997673,88.26847181191332,99.69063345837058,99.70026459955234,99.74465598076112,99.69399417487405,-131.41457340592572,80.55840301240511,75.63161939480973,,,95.1627918131057,96.54021850429196,99.90876375021563,99.91160410004125,99.92469570045448,99.90975486958087,31.752807812366587,-25.341455337948812,,,75.11928577687944,82.20423199845351,99.53071627890144,99.5453259317372,99.61266402346695,99.53581421075276,-251.03696589935447,,,80.14965267792962,85.80216900022018,99.62559576172683,99.63725164428888,99.69097536366664,99.6296629969744,-180.06453647189568,,,,,,,,,,,,,,,,28.47565450910708,98.11386555510344,98.172584339077,98.44322806387484,98.13435504670569,-1310.8797792193245,97.36294763419161,97.44504385411584,97.823437704406,97.3915945116452,-1872.5867738265001,3.113181254519759,17.462302841803098,1.0863219033873412,-74702.7153120948,14.810189634751243,-2.0919866885679643,-77106.28696520634,-19.840607991556308,-90528.5465763883,-75524.23797347037
73,-1391.1487292403308,-1783.6584309964355,-438.58056134046683,,,32.16815067592124,66.09363847583047,99.54566314506854,99.25947288326996,99.62650339951696,99.54466144208673,58.785621423401295,-26.32263932224049,63.881499492351246,,,95.45103395832047,97.72615830605689,99.96953108392059,99.95033848051446,99.97495242472068,99.96946390732298,97.23606520473679,71.40773759839445,,,96.3989304956846,98.19997293743785,99.97588008274457,99.96068676228427,99.98017174481653,99.97582690415521,97.81200360434792,,,87.40544048688781,93.70449586227538,99.91564180225876,99.86250392793848,99.93065167455107,99.91545581281657,92.34759262866437,,,,,,,,,,,,,,,,50.01409830037827,99.33020128529773,98.90828994917706,99.44937871485917,99.3287245409781,39.240373088326606,98.66002474312205,97.81596407446382,98.89844682916863,98.6570704214645,-21.55352778628218,-62.99076526419043,17.793021536986842,-0.22047583657946102,-8971.326292210284,49.56341340580583,38.511561882580956,-5465.54616913826,-21.912370105745943,-10934.739947645303,-8951.370208022243
74,-49.14061319165911,77.7544418054463,57.6801714785455,,,72.58291509536558,72.01445390675428,98.39954926077392,97.75075611615328,98.57191440066097,98.41742029989061,25.20521802365342,85.08417142823052,71.62420911662088,,,81.61662050470385,81.2354626319782,98.9268846996295,98.49186359388489,99.04245693458172,98.9388673774087,49.84948742283327,-90.23945432763074,,,-23.247457604129004,-25.802849487936555,92.8055267248007,89.88902025215357,93.58035619133774,92.88586203920545,-236.22344434880628,,,35.214565222694546,33.871315005309754,96.21820126606913,94.68512996760741,96.62549294448336,96.26042979047733,-76.73696843650616,,,,,,,,,,,,,,,,-2.0733830404968425,94.16257875411276,91.79619608842326,94.79125660402492,94.22776088116547,-172.80355382969148,94.281152370965,91.96283725766006,94.89706009459042,94.34501047492033,-167.26218501199156,-40.53815145440668,10.769787264455166,1.116625378006257,-4573.357332604615,36.50819239322864,29.639479672483493,-3225.3300148328362,-10.818266134877849,-5137.415881160378,-4626.130505223638
75,-229.13158186547386,35.45847047659789,52.5761523557605,,,65.44957729102839,77.98053401329418,98.7552571447143,98.91140896145313,99.03475491931871,98.76255980522771,25.024222651697883,80.39035659914818,85.59121936112984,,,89.5025501615055,93.3098288952089,99.6218099617695,99.6692535452305,99.70672972942603,99.62402872803679,77.22012062064984,26.521965013171727,,,46.46792078820508,65.88325974096759,98.07140787570836,98.3133479380092,98.50445893084809,98.08272254483278,-16.166719168185583,,,27.145467048225886,53.56879063906893,97.37528075616426,97.70454930879256,97.96464199210007,97.39067946562409,-58.097204408106066,,,,,,,,,,,,,,,,36.268606111762324,96.39731511891901,96.84926853799625,97.20627128411184,96.41845135963861,-117.00393647812983,94.34707973373557,95.05623324741804,95.61640104594703,94.38024430056848,-240.49770958827293,12.544905646636595,22.454258196184693,0.5866802514592632,-5923.394874686266,11.330789387190224,-13.673560681165092,-6787.4145288194,-28.199585736182264,-7667.537887412293,-5958.9414878429125
76,-87.4310817489711,33.80128738117067,-71.73636852865651,,,88.35783886568798,87.27629675404715,99.67736242617929,99.62569444065227,99.71156911378274,99.67413297948504,20.24703469971098,64.68103795746634,8.373591548350932,,,93.78856429484597,93.21152973817124,99.82786335606127,99.80029696470031,99.84611363092725,99.82614035117643,57.44944512079207,-159.42554127526708,,,82.41331187005505,80.77953068481008,99.51262258576166,99.43457275143254,99.5642953241734,99.50774417262267,-20.475100111847738,,,93.22091107780157,92.5911422519513,99.8121320623087,99.78204642234223,99.83205020073012,99.8102515947514,53.56081767445713,,,,,,,,,,,,,,,,-9.289874097802002,97.22871406692838,96.78491342776069,97.52253140211927,97.20097482971126,-585.0357453414675,97.46427932509864,97.05820269372606,97.73312155555813,97.43889798264024,-526.8062352496064,-16.014249337159033,10.602202092702589,-1.0009518283945837,-24619.056852505724,22.942398525985592,12.94090820269242,-21206.914446920684,-12.979239078270432,-27550.632824466855,-24374.08307052846
77,-371.25176065963205,-554.7097564138721,-302.60121696700065,,,95.04090781277347,79.88255172419966,99.72451321184225,99.56703881099149,99.73322056677536,99.73159342386376,-228.06032876846243,-38.92993322665697,14.567700202655613,,,98.94767667705155,95.73106140810147,99.94154148352207,99.90812528988698,99.94338919119342,99.94304391016799,30.38533621407338,38.50691653470672,,,99.24255104820958,96.92727226397353,99.95792230290462,99.93386975147888,99.95925225940027,99.95900373050702,49.89224987796265,,,98.76823715919542,95.00313277059735,99.93157328479205,99.8924590461325,99.93373605891348,99.93333190143878,18.514819393764522,,,,,,,,,,,,,,,,-305.667963334464,94.44481413619751,91.26934582656664,94.6203977834532,94.58758647746869,-6515.330314154483,98.63060769745272,97.8478324732202,98.67389029877337,98.66580208157357,-1530.7253498103555,-57.16223340648525,3.1607159789163215,2.5700731671550145,-118983.87003322186,38.38259871847326,38.006781450571715,-75671.30170021362,-0.6099206718966584,-122870.62213646182,-122125.1457065418
78,-90.07502568638137,38.85790884779817,67.13047699429137,,,66.41062887193691,84.20454331628072,99.4639530264285,99.2734228704255,99.48935147037528,99.4712714517559,-15.545687341131208,67.83265401048288,82.70707954029561,,,82.32836165257996,91.6898831781397,99.71798137517763,99.61774192745693,99.73134370084618,99.72183165761267,39.21048442640831,46.24076084691629,,,45.063424401941674,74.16598551659047,99.12327667655802,98.81165803150922,99.16481670809466,99.13524621372872,-88.9789589523554,,,-2.19001694131507,51.94497747662477,98.36916716595368,97.78951118503208,98.44643766343664,98.39143224514613,-251.52833620695927,,,,,,,,,,,,,,,,52.974836523442484,98.40411726814484,97.83688379635231,98.47973179468644,98.42590518819699,-243.994791985241,96.60632177780579,95.40008785992624,96.76711766016203,96.65265424842656,-631.5121661548834,-35.54355595621656,4.738100427573327,1.3652582121004084,-21455.142186754398,29.71860676047315,27.23022419467827,-15802.742136791192,-3.540599369329792,-22527.243718110236,-21753.498874773515
79,-60.84063577057981,55.3908823122548,28.05418047921473,,,86.79047438944116,91.38267741314453,98.84091747549373,99.09186517185124,98.900304776425,98.87231395148874,-157.8734724506495,72.26502029538429,55.26887892720873,,,91.78719634669895,94.642322479285,99.27935964754606,99.43538221930177,99.31628271779304,99.29887988622491,-60.328558274586534,-61.28052570864876,,,70.38828316887404,80.6825980124176,97.40169143756752,97.9642394308143,97.5348196051026,97.47207273543306,-478.073465285083,,,81.63962034410828,88.02248324606839,98.38895083518867,98.73775177738241,98.47149531286206,98.432589890528,-258.4273195694844,,,,,,,,,,,,,,,,34.76432961402234,91.22540385871406,93.1251518417674,91.67498322047248,91.46308443045173,-1852.1781482033114,86.54938917716399,89.46151987469982,87.23855104075551,86.91373060315284,-2892.5010912786297,21.65054610450629,5.123647339654494,2.708735170378148,-22148.068364286162,-21.093827644154576,-24.17605993705284,-28295.945674314095,-2.5453256808065325,-23349.540101877206,-22767.48805583663
